seat_config,class_size,rho0,delta_lambda,trial,status,completed_at
outer_corner,32,0.1,0.0,1,done,2026-07-23T23:44:49.947
outer_corner,32,0.1,0.1,1,done,2026-07-23T23:44:50.009
outer_corner,32,0.1,0.2,1,done,2026-07-23T23:44:50.055
outer_corner,32,0.1,0.3,1,done,2026-07-23T23:44:50.606
outer_corner,32,0.1,0.4,1,done,2026-07-23T23:44:51.761
outer_corner,48,0.1,0.0,1,done,2026-07-23T23:44:53.114
outer_corner,48,0.1,0.1,1,done,2026-07-23T23:44:54.225
outer_corner,48,0.1,0.2,1,done,2026-07-23T23:44:54.492
outer_corner,48,0.1,0.3,1,done,2026-07-23T23:44:55.649
outer_corner,48,0.1,0.4,1,done,2026-07-23T23:44:57.625
outer_corner,64,0.1,0.0,1,done,2026-07-23T23:44:59.084
outer_corner,64,0.1,0.1,1,done,2026-07-23T23:45:02.097
outer_corner,64,0.1,0.2,1,done,2026-07-23T23:45:03.268
outer_corner,64,0.1,0.3,1,done,2026-07-23T23:45:05.846
outer_corner,64,0.1,0.4,1,done,2026-07-23T23:45:08.914
outer_corner,96,0.1,0.0,1,done,2026-07-23T23:45:17.119
outer_corner,96,0.1,0.1,1,done,2026-07-23T23:45:23.363
outer_corner,96,0.1,0.2,1,done,2026-07-23T23:45:26.462
outer_corner,96,0.1,0.3,1,done,2026-07-23T23:45:35.919
outer_corner,96,0.1,0.4,1,done,2026-07-23T23:45:49.710
outer_corner,128,0.1,0.0,1,done,2026-07-23T23:46:12.030
outer_corner,128,0.1,0.1,1,done,2026-07-23T23:46:31.129
outer_corner,128,0.1,0.2,1,done,2026-07-23T23:46:49.021
outer_corner,128,0.1,0.3,1,done,2026-07-23T23:47:07.764
outer_corner,128,0.1,0.4,1,done,2026-07-23T23:47:23.313
outer_corner,32,0.2,0.0,1,done,2026-07-23T23:47:25.847
outer_corner,32,0.2,0.1,1,done,2026-07-23T23:47:27.330
outer_corner,32,0.2,0.2,1,done,2026-07-23T23:47:28.560
outer_corner,32,0.2,0.3,1,done,2026-07-23T23:47:28.606
outer_corner,32,0.2,0.4,1,done,2026-07-23T23:47:29.546
outer_corner,48,0.2,0.0,1,done,2026-07-23T23:47:29.861
outer_corner,48,0.2,0.1,1,done,2026-07-23T23:47:31.382
outer_corner,48,0.2,0.2,1,done,2026-07-23T23:47:33.042
outer_corner,48,0.2,0.3,1,done,2026-07-23T23:47:33.459
outer_corner,48,0.2,0.4,1,done,2026-07-23T23:47:33.734
outer_corner,64,0.2,0.0,1,done,2026-07-23T23:47:35.369
outer_corner,64,0.2,0.1,1,done,2026-07-23T23:47:37.870
outer_corner,64,0.2,0.2,1,done,2026-07-23T23:47:39.342
outer_corner,64,0.2,0.3,1,done,2026-07-23T23:47:42.318
outer_corner,64,0.2,0.4,1,done,2026-07-23T23:47:44.547
outer_corner,96,0.2,0.0,1,done,2026-07-23T23:47:53.163
outer_corner,96,0.2,0.1,1,done,2026-07-23T23:48:01.861
outer_corner,96,0.2,0.2,1,done,2026-07-23T23:48:08.380
outer_corner,96,0.2,0.3,1,done,2026-07-23T23:48:15.644
outer_corner,96,0.2,0.4,1,done,2026-07-23T23:48:25.490
outer_corner,128,0.2,0.0,1,done,2026-07-23T23:48:54.931
outer_corner,128,0.2,0.1,1,done,2026-07-23T23:49:15.283
outer_corner,128,0.2,0.2,1,done,2026-07-23T23:49:35.334
outer_corner,128,0.2,0.3,1,done,2026-07-23T23:49:56.185
outer_corner,128,0.2,0.4,1,done,2026-07-23T23:50:16.156
outer_corner,32,0.3,0.0,1,done,2026-07-23T23:50:16.326
outer_corner,32,0.3,0.1,1,done,2026-07-23T23:50:16.352
outer_corner,32,0.3,0.2,1,done,2026-07-23T23:50:16.822
outer_corner,32,0.3,0.3,1,done,2026-07-23T23:50:16.858
outer_corner,32,0.3,0.4,1,done,2026-07-23T23:50:16.889
outer_corner,48,0.3,0.0,1,done,2026-07-23T23:50:17.270
