class_length,rho0,delta_lambda,trial,status,completed_at
32,0.1,0.0,1,done,2026-07-23T23:44:54.302
32,0.1,0.1,1,done,2026-07-23T23:44:55.466
32,0.1,0.2,1,done,2026-07-23T23:44:57.113
32,0.1,0.3,1,done,2026-07-23T23:44:59.105
32,0.1,0.4,1,done,2026-07-23T23:45:03.174
48,0.1,0.0,1,done,2026-07-23T23:45:04.625
48,0.1,0.1,1,done,2026-07-23T23:45:06.597
48,0.1,0.2,1,done,2026-07-23T23:45:09.060
48,0.1,0.3,1,done,2026-07-23T23:45:12.298
48,0.1,0.4,1,done,2026-07-23T23:45:22.968
64,0.1,0.0,1,done,2026-07-23T23:45:27.146
64,0.1,0.1,1,done,2026-07-23T23:45:29.631
64,0.1,0.2,1,done,2026-07-23T23:45:32.896
64,0.1,0.3,1,done,2026-07-23T23:45:40.516
64,0.1,0.4,1,done,2026-07-23T23:45:46.869
96,0.1,0.0,1,done,2026-07-23T23:45:52.583
96,0.1,0.1,1,done,2026-07-23T23:45:53.581
96,0.1,0.2,1,done,2026-07-23T23:46:00.225
96,0.1,0.3,1,done,2026-07-23T23:46:08.856
96,0.1,0.4,1,done,2026-07-23T23:46:25.234
128,0.1,0.0,1,done,2026-07-23T23:46:28.418
128,0.1,0.1,1,done,2026-07-23T23:46:33.175
128,0.1,0.2,1,done,2026-07-23T23:46:40.841
128,0.1,0.3,1,done,2026-07-23T23:46:59.633
128,0.1,0.4,1,done,2026-07-23T23:47:14.607
32,0.2,0.0,1,done,2026-07-23T23:47:14.621
32,0.2,0.1,1,done,2026-07-23T23:47:17.571
32,0.2,0.2,1,done,2026-07-23T23:47:17.626
32,0.2,0.3,1,done,2026-07-23T23:47:21.273
32,0.2,0.4,1,done,2026-07-23T23:47:23.861
48,0.2,0.0,1,done,2026-07-23T23:47:23.907
48,0.2,0.1,1,done,2026-07-23T23:47:23.947
48,0.2,0.2,1,done,2026-07-23T23:47:24.024
48,0.2,0.3,1,done,2026-07-23T23:47:24.118
48,0.2,0.4,1,done,2026-07-23T23:47:27.876
64,0.2,0.0,1,done,2026-07-23T23:47:27.958
64,0.2,0.1,1,done,2026-07-23T23:47:28.065
64,0.2,0.2,1,done,2026-07-23T23:47:31.969
64,0.2,0.3,1,done,2026-07-23T23:47:32.256
64,0.2,0.4,1,done,2026-07-23T23:47:35.745
96,0.2,0.0,1,done,2026-07-23T23:47:36.092
96,0.2,0.1,1,done,2026-07-23T23:47:36.545
96,0.2,0.2,1,done,2026-07-23T23:47:36.971
96,0.2,0.3,1,done,2026-07-23T23:47:37.381
96,0.2,0.4,1,done,2026-07-23T23:47:42.752
128,0.2,0.0,1,done,2026-07-23T23:47:43.512
128,0.2,0.1,1,done,2026-07-23T23:47:45.012
128,0.2,0.2,1,done,2026-07-23T23:47:48.333
128,0.2,0.3,1,done,2026-07-23T23:47:49.868
128,0.2,0.4,1,done,2026-07-23T23:47:59.284
32,0.3,0.0,1,done,2026-07-23T23:47:59.293
32,0.3,0.1,1,done,2026-07-23T23:47:59.305
32,0.3,0.2,1,done,2026-07-23T23:47:59.336
32,0.3,0.3,1,done,2026-07-23T23:48:06.032
32,0.3,0.4,1,done,2026-07-23T23:48:06.076
48,0.3,0.0,1,done,2026-07-23T23:48:06.109
48,0.3,0.1,1,done,2026-07-23T23:48:06.134
48,0.3,0.2,1,done,2026-07-23T23:48:06.166
48,0.3,0.3,1,done,2026-07-23T23:48:06.205
48,0.3,0.4,1,done,2026-07-23T23:48:06.288
64,0.3,0.0,1,done,2026-07-23T23:48:06.537
64,0.3,0.1,1,done,2026-07-23T23:48:06.688
64,0.3,0.2,1,done,2026-07-23T23:48:06.864
64,0.3,0.3,1,done,2026-07-23T23:48:06.990
64,0.3,0.4,1,done,2026-07-23T23:48:07.251
96,0.3,0.0,1,done,2026-07-23T23:48:08.134
96,0.3,0.1,1,done,2026-07-23T23:48:09.236
96,0.3,0.2,1,done,2026-07-23T23:48:09.518
96,0.3,0.3,1,done,2026-07-23T23:48:10.570
96,0.3,0.4,1,done,2026-07-23T23:48:12.042
128,0.3,0.0,1,done,2026-07-23T23:48:13.166
128,0.3,0.1,1,done,2026-07-23T23:48:14.954
128,0.3,0.2,1,done,2026-07-23T23:48:16.838
128,0.3,0.3,1,done,2026-07-23T23:48:18.207
128,0.3,0.4,1,done,2026-07-23T23:48:19.713
32,0.4,0.0,1,done,2026-07-23T23:48:19.724
32,0.4,0.1,1,done,2026-07-23T23:48:19.988
32,0.4,0.2,1,done,2026-07-23T23:48:20
32,0.4,0.3,1,done,2026-07-23T23:48:20.026
32,0.4,0.4,1,done,2026-07-23T23:48:25.951
48,0.4,0.0,1,done,2026-07-23T23:48:26.032
48,0.4,0.1,1,done,2026-07-23T23:48:26.137
48,0.4,0.2,1,done,2026-07-23T23:48:28.957
48,0.4,0.3,1,done,2026-07-23T23:48:29.047
48,0.4,0.4,1,done,2026-07-23T23:48:34.523
64,0.4,0.0,1,done,2026-07-23T23:48:34.697
64,0.4,0.1,1,done,2026-07-23T23:48:35.041
64,0.4,0.2,1,done,2026-07-23T23:48:35.242
64,0.4,0.3,1,done,2026-07-23T23:48:35.538
64,0.4,0.4,1,done,2026-07-23T23:48:45.589
96,0.4,0.0,1,done,2026-07-23T23:48:47.266
96,0.4,0.1,1,done,2026-07-23T23:48:49.157
96,0.4,0.2,1,done,2026-07-23T23:48:51.213
96,0.4,0.3,1,done,2026-07-23T23:48:54.661
96,0.4,0.4,1,done,2026-07-23T23:49:02.596
128,0.4,0.0,1,done,2026-07-23T23:49:04.441
128,0.4,0.1,1,done,2026-07-23T23:49:07.119
128,0.4,0.2,1,done,2026-07-23T23:49:08.486
128,0.4,0.3,1,done,2026-07-23T23:49:10.508
128,0.4,0.4,1,done,2026-07-23T23:49:16.124
32,0.5,0.0,1,done,2026-07-23T23:49:16.137
32,0.5,0.1,1,done,2026-07-23T23:49:16.146
32,0.5,0.2,1,done,2026-07-23T23:49:16.186
32,0.5,0.3,1,done,2026-07-23T23:49:16.201
32,0.5,0.4,1,done,2026-07-23T23:49:16.646
48,0.5,0.0,1,done,2026-07-23T23:49:16.738
48,0.5,0.1,1,done,2026-07-23T23:49:16.833
48,0.5,0.2,1,done,2026-07-23T23:49:16.982
48,0.5,0.3,1,done,2026-07-23T23:49:17.337
48,0.5,0.4,1,done,2026-07-23T23:49:29.641
64,0.5,0.0,1,done,2026-07-23T23:49:29.686
64,0.5,0.1,1,done,2026-07-23T23:49:29.789
64,0.5,0.2,1,done,2026-07-23T23:49:29.879
64,0.5,0.3,1,done,2026-07-23T23:49:30.063
64,0.5,0.4,1,done,2026-07-23T23:49:30.229
96,0.5,0.0,1,done,2026-07-23T23:49:30.498
96,0.5,0.1,1,done,2026-07-23T23:49:31.078
