learned_per_gen,power_fit,polynomial_fit
4,2.628609632429061,-2.6932234150613708
11,1.8690640258016809,11.949714643830704
22,,-0.5374364627671385
29,,0.1107664556648818
44,,-0.0014549192053594443
65,,
87,,
114,,
143,,
175,,
205,,
247,,
289,,
328,,
376,,
431,,
485,,
545,,
611,,
679,,
748,,
830,,
917,,
1002,,
1099,,
1199,,
1293,,
1406,,
1524,,
1651,,
1777,,
1913,,
2035,,
2160,,
2287,,
2422,,
2581,,
2729,,
2883,,
3041,,
3203,,
3333,,
3469,,
3566,,
3653,,
3726,,
3783,,
3837,,
3897,,
3939,,
3982,,
4010,,
4043,,
4065,,
4075,,
4084,,
4091,,
4094,,
4096,,
