learned_per_gen,power_fit,polynomial_fit
4,2.804854353108345,-136.41554926051793
9,2.2318511032689963,63.94423485408018
20,,-4.139061420729068
45,,0.49534398626941606
84,,-0.006193589133715563
140,,
211,,
285,,
374,,
483,,
622,,
767,,
937,,
1112,,
1306,,
1508,,
1754,,
2013,,
2284,,
2581,,
2859,,
3150,,
3461,,
3804,,
4176,,
4565,,
4977,,
5415,,
5824,,
6270,,
6739,,
7253,,
7769,,
8304,,
8858,,
9381,,
9937,,
10531,,
11117,,
11731,,
12306,,
12879,,
13470,,
13982,,
14435,,
14797,,
15138,,
15395,,
15628,,
15818,,
15959,,
16079,,
16201,,
16271,,
16332,,
16363,,
16374,,
16383,,
16384,,
