learned_per_gen,power_fit,polynomial_fit
4,2.7084522067738255,-420.95157727019864
9,2.0519714660817163,124.70698640072249
22,,-5.897074827526944
42,,0.23641474979016103
68,,-0.0018673548474745887
94,,
134,,
181,,
235,,
285,,
348,,
426,,
506,,
589,,
690,,
803,,
914,,
1030,,
1165,,
1292,,
1446,,
1601,,
1756,,
1922,,
2096,,
2271,,
2452,,
2649,,
2855,,
3059,,
3267,,
3495,,
3722,,
3954,,
4207,,
4468,,
4729,,
4983,,
5262,,
5533,,
5826,,
6112,,
6402,,
6709,,
7037,,
7379,,
7691,,
8025,,
8373,,
8713,,
9072,,
9454,,
9834,,
10217,,
10594,,
10985,,
11388,,
11803,,
12218,,
12638,,
13040,,
13482,,
13932,,
14364,,
14793,,
15110,,
15324,,
15497,,
15667,,
15811,,
15933,,
16041,,
16130,,
16203,,
16262,,
16316,,
16354,,
16378,,
16384,,
